Ensembl	Gene	"Gene description"	"Biological process"	"Molecular function"	Evidence
ENSG00000120054	CPN1	"Carboxypeptidase N subunit 1"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000178772	CPN2	"Carboxypeptidase N subunit 2"			"Evidence at protein level"
ENSG00000104324	CPQ	"Carboxypeptidase Q"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000088882	CPXM1	"Carboxypeptidase X, M14 family member 1"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000121898	CPXM2	"Carboxypeptidase X, M14 family member 2"			"Evidence at protein level"
ENSG00000109625	CPZ	"Carboxypeptidase Z"	"Wnt signaling pathway"	"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000143162	CREG1	"Cellular repressor of E1A stimulated genes 1"	"Growth regulation"		"Evidence at protein level"
ENSG00000175874	CREG2	"Cellular repressor of E1A stimulated genes 2"			"Evidence at protein level"
ENSG00000184164	CRELD2	"Cysteine rich with EGF like domains 2"		Isomerase	"Evidence at protein level"
ENSG00000147571	CRH	"Corticotropin releasing hormone"		Hormone	"Evidence at protein level"
ENSG00000145708	CRHBP	"Corticotropin releasing hormone binding protein"			"Evidence at protein level"
ENSG00000106113	CRHR2	"Corticotropin releasing hormone receptor 2"		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ENSG00000124812	CRISP1	"Cysteine rich secretory protein 1"			"Evidence at protein level"
ENSG00000124490	CRISP2	"Cysteine rich secretory protein 2"			"Evidence at protein level"
ENSG00000096006	CRISP3	"Cysteine rich secretory protein 3"			"Evidence at protein level"
ENSG00000121005	CRISPLD1	"Cysteine rich secretory protein LCCL domain containing 1"			"Evidence at protein level"
ENSG00000103196	CRISPLD2	"Cysteine rich secretory protein LCCL domain containing 2"			"Evidence at protein level"
ENSG00000006016	CRLF1	"Cytokine receptor like factor 1"		Receptor	"Evidence at protein level"
ENSG00000132693	CRP	"C-reactive protein"	"Acute phase"		"Evidence at protein level"
ENSG00000095713	CRTAC1	"Cartilage acidic protein 1"			"Evidence at protein level"
ENSG00000170275	CRTAP	"Cartilage associated protein"			"Evidence at protein level"
ENSG00000184371	CSF1	"Colony stimulating factor 1"	"Immunity, Inflammatory response, Innate immunity"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000164400	CSF2	"Colony stimulating factor 2"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000198223	CSF2RA	"Colony stimulating factor 2 receptor alpha subunit"		Receptor	"Evidence at protein level"
ENSG00000108342	CSF3	"Colony stimulating factor 3"		"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000136488	CSH1	"Chorionic somatomammotropin hormone 1"		Hormone	"Evidence at protein level"
ENSG00000213218	CSH2	"Chorionic somatomammotropin hormone 2"		Hormone	"Evidence at protein level"
ENSG00000204414	CSHL1	"Chorionic somatomammotropin hormone like 1"		Hormone	"Evidence at protein level"
ENSG00000126545	CSN1S1	"Casein alpha s1"		"Milk protein"	"Evidence at protein level"
ENSG00000135222	CSN2	"Casein beta"		"Milk protein"	"Evidence at protein level"
ENSG00000171209	CSN3	"Casein kappa"		"Milk protein"	"Evidence at protein level"
ENSG00000170373	CST1	"Cystatin SN"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000125831	CST11	"Cystatin 11"		"Antibiotic, Antimicrobial, Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000170369	CST2	"Cystatin SA"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000101439	CST3	"Cystatin C"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000101441	CST4	"Cystatin S"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000170367	CST5	"Cystatin D"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000175315	CST6	"Cystatin E/M"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000077984	CST7	"Cystatin F"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000125815	CST8	"Cystatin 8"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000173335	CST9	"Cystatin 9"		"Antimicrobial, Protease inhibitor, Thiol protease inhibitor"	"Evidence at transcript level"
ENSG00000101435	CST9L	"Cystatin 9 like"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at protein level"
ENSG00000125823	CSTL1	"Cystatin like 1"		"Protease inhibitor, Thiol protease inhibitor"	"Evidence at transcript level"
ENSG00000169551	CT55	"Cancer/testis antigen 55"			"Evidence at protein level"
ENSG00000150281	CTF1	"Cardiotrophin 1"		Cytokine	"Evidence at protein level"
ENSG00000118523	CTGF	"Connective tissue growth factor"	"Cell adhesion, DNA synthesis"	Heparin-binding	"Evidence at protein level"
ENSG00000164932	CTHRC1	"Collagen triple helix repeat containing 1"			"Evidence at protein level"
ENSG00000168925	CTRB1	"Chymotrypsinogen B1"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000168928	CTRB2	"Chymotrypsinogen B2"	Digestion	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000162438	CTRC	"Chymotrypsin C"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000141086	CTRL	"Chymotrypsin like"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000164733	CTSB	"Cathepsin B"		"Hydrolase, Protease, Thiol protease"	"Evidence at protein level"
ENSG00000117984	CTSD	"Cathepsin D"		"Aspartyl protease, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000172543	CTSW	"Cathepsin W"		"Hydrolase, Protease, Thiol protease"	"Evidence at protein level"
ENSG00000112514	CUTA	"CutA divalent cation tolerance homolog"			"Evidence at protein level"
ENSG00000006210	CX3CL1	"C-X3-C motif chemokine ligand 1"	"Cell adhesion, Chemotaxis"	Cytokine	"Evidence at protein level"
ENSG00000163739	CXCL1	"C-X-C motif chemokine ligand 1"	"Inflammatory response"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000169245	CXCL10	"C-X-C motif chemokine ligand 10"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000169248	CXCL11	"C-X-C motif chemokine ligand 11"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000107562	CXCL12	"C-X-C motif chemokine ligand 12"	"Chemotaxis, Host-virus interaction"	"Cytokine, Growth factor"	"Evidence at protein level"
ENSG00000156234	CXCL13	"C-X-C motif chemokine ligand 13"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000145824	CXCL14	"C-X-C motif chemokine ligand 14"	Chemotaxis	Cytokine	"Evidence at protein level"
ENSG00000161921	CXCL16	"C-X-C motif chemokine ligand 16"	Chemotaxis	Cytokine	"Evidence at protein level"
ENSG00000189377	CXCL17	"C-X-C motif chemokine ligand 17"	"Angiogenesis, Chemotaxis, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000081041	CXCL2	"C-X-C motif chemokine ligand 2"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000163734	CXCL3	"C-X-C motif chemokine ligand 3"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000163735	CXCL5	"C-X-C motif chemokine ligand 5"		Cytokine	"Evidence at protein level"
ENSG00000124875	CXCL6	"C-X-C motif chemokine ligand 6"	Chemotaxis	"Antibiotic, Antimicrobial, Cytokine, Heparin-binding"	"Evidence at protein level"
ENSG00000169429	CXCL8	"C-X-C motif chemokine ligand 8"	"Chemotaxis, Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000138755	CXCL9	"C-X-C motif chemokine ligand 9"	"Inflammatory response"	Cytokine	"Evidence at protein level"
ENSG00000147113	CXorf36	"Chromosome X open reading frame 36"			"Evidence at protein level"
ENSG00000167740	CYB5D2	"Cytochrome b5 domain containing 2"	Neurogenesis		"Evidence at protein level"
ENSG00000142871	CYR61	"Cysteine rich angiogenic inducer 61"	"Cell adhesion, Chemotaxis"	"Growth factor binding, Heparin-binding"	"Evidence at protein level"
ENSG00000170891	CYTL1	"Cytokine like 1"			"Evidence at protein level"
ENSG00000179284	DAND5	"DAN domain BMP antagonist family member 5"			"Evidence at transcript level"
ENSG00000161634	DCD	Dermcidin		"Antibiotic, Antimicrobial, Fungicide, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000011465	DCN	Decorin			"Evidence at protein level"
ENSG00000164821	DEFA4	"Defensin alpha 4"		"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Evidence at protein level"
ENSG00000164816	DEFA5	"Defensin alpha 5"		"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Evidence at protein level"
ENSG00000164822	DEFA6	"Defensin alpha 6"		"Antibiotic, Antimicrobial, Defensin, Fungicide"	"Evidence at protein level"
ENSG00000164825	DEFB1	"Defensin beta 1"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000176797	DEFB103A	"Defensin beta 103A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000177243	DEFB103B	"Defensin beta 103B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000176782	DEFB104A	"Defensin beta 104A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000177023	DEFB104B	"Defensin beta 104B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000186562	DEFB105A	"Defensin beta 105A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000186599	DEFB105B	"Defensin beta 105B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000186579	DEFB106A	"Defensin beta 106A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000187082	DEFB106B	"Defensin beta 106B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000186572	DEFB107A	"Defensin beta 107A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000198129	DEFB107B	"Defensin beta 107B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000184276	DEFB108B	"Defensin beta 108B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000203970	DEFB110	"Defensin beta 110"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000180872	DEFB112	"Defensin beta 112"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000214642	DEFB113	"Defensin beta 113"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000177684	DEFB114	"Defensin beta 114"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000215547	DEFB115	"Defensin beta 115"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000215545	DEFB116	"Defensin beta 116"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000131068	DEFB118	"Defensin beta 118"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000180483	DEFB119	"Defensin beta 119"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000204548	DEFB121	"Defensin beta 121"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000180424	DEFB123	"Defensin beta 123"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000180383	DEFB124	"Defensin beta 124"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000178591	DEFB125	"Defensin beta 125"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000125788	DEFB126	"Defensin beta 126"	Fertilization	"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000088782	DEFB127	"Defensin beta 127"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000185982	DEFB128	"Defensin beta 128"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000125903	DEFB129	"Defensin beta 129"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000232948	DEFB130A	"Defensin beta 130A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000233050	DEFB130B	"Defensin beta 130B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000186146	DEFB131A	"Defensin beta 131A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000225805	DEFB131B	"Defensin beta 131B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000186458	DEFB132	"Defensin beta 132"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000214643	DEFB133	"Defensin beta 133"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000205882	DEFB134	"Defensin beta 134"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000205883	DEFB135	"Defensin beta 135"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at transcript level"
ENSG00000205884	DEFB136	"Defensin beta 136"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000171711	DEFB4A	"Defensin beta 4A"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000177257	DEFB4B	"Defensin beta 4B"		"Antibiotic, Antimicrobial, Defensin"	"Evidence at protein level"
ENSG00000139549	DHH	"Desert hedgehog"		"Developmental protein, Hydrolase, Protease"	"Evidence at protein level"
ENSG00000167536	DHRS13	"Dehydrogenase/reductase 13"		Oxidoreductase	"Evidence at protein level"
ENSG00000187630	DHRS4L2	"Dehydrogenase/reductase 4 like 2"		Oxidoreductase	"Evidence at protein level"
ENSG00000184544	DHRS7C	"Dehydrogenase/reductase 7C"		Oxidoreductase	"Evidence at protein level"
ENSG00000169084	DHRSX	"Dehydrogenase/reductase X-linked"		Oxidoreductase	"Evidence at protein level"
ENSG00000107984	DKK1	"Dickkopf WNT signaling pathway inhibitor 1"	"Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000155011	DKK2	"Dickkopf WNT signaling pathway inhibitor 2"	"Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000050165	DKK3	"Dickkopf WNT signaling pathway inhibitor 3"	"Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000104371	DKK4	"Dickkopf WNT signaling pathway inhibitor 4"	"Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000104901	DKKL1	"Dickkopf like acrosomal protein 1"			"Evidence at protein level"
ENSG00000187908	DMBT1	"Deleted in malignant brain tumors 1"	"Antiviral defense, Differentiation, Host-virus interaction, Protein transport, Transport"	"Developmental protein"	"Evidence at protein level"
ENSG00000161249	DMKN	Dermokine			"Evidence at protein level"
ENSG00000152592	DMP1	"Dentin matrix acidic phosphoprotein 1"	Biomineralization		"Evidence at protein level"
ENSG00000213918	DNASE1	"Deoxyribonuclease 1"	Apoptosis	"Actin-binding, Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000167968	DNASE1L2	"Deoxyribonuclease 1 like 2"		"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000163687	DNASE1L3	"Deoxyribonuclease 1 like 3"	"Apoptosis, Necrosis"	"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000197635	DPP4	"Dipeptidyl peptidase 4"	"Cell adhesion"	"Aminopeptidase, Hydrolase, Protease, Receptor, Serine protease"	"Evidence at protein level"
ENSG00000143196	DPT	Dermatopontin	"Cell adhesion"		"Evidence at protein level"
ENSG00000162490	DRAXIN	"Dorsal inhibitory axon guidance protein"	"Wnt signaling pathway"	"Developmental protein"	"Evidence at protein level"
ENSG00000152591	DSPP	"Dentin sialophosphoprotein"	Biomineralization		"Evidence at protein level"
ENSG00000105246	EBI3	"Epstein-Barr virus induced 3"		Cytokine	"Evidence at protein level"
ENSG00000143369	ECM1	"Extracellular matrix protein 1"	"Angiogenesis, Biomineralization, Mineral balance, Osteogenesis"		"Evidence at protein level"
ENSG00000106823	ECM2	"Extracellular matrix protein 2"			"Evidence at protein level"
ENSG00000181562	EDDM3A	"Epididymal protein 3A"			"Evidence at protein level"
ENSG00000181552	EDDM3B	"Epididymal protein 3B"			"Evidence at protein level"
ENSG00000164176	EDIL3	"EGF like repeats and discoidin domains 3"	"Cell adhesion"	"Developmental protein"	"Evidence at protein level"
ENSG00000078401	EDN1	"Endothelin 1"		"Vasoactive, Vasoconstrictor"	"Evidence at protein level"
ENSG00000127129	EDN2	"Endothelin 2"		"Vasoactive, Vasoconstrictor"	"Evidence at protein level"
ENSG00000124205	EDN3	"Endothelin 3"		"Vasoactive, Vasoconstrictor"	"Evidence at protein level"
ENSG00000115380	EFEMP1	"EGF containing fibulin extracellular matrix protein 1"		"Growth factor"	"Evidence at protein level"
ENSG00000172638	EFEMP2	"EGF containing fibulin extracellular matrix protein 2"			"Evidence at protein level"
ENSG00000169242	EFNA1	"Ephrin A1"	Angiogenesis		"Evidence at protein level"
ENSG00000243364	EFNA4	"Ephrin A4"			"Evidence at protein level"
ENSG00000198759	EGFL6	"EGF like domain multiple 6"	"Cell adhesion, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000172889	EGFL7	"EGF like domain multiple 7"	"Angiogenesis, Cell adhesion, Differentiation"	"Developmental protein"	"Evidence at protein level"
ENSG00000241404	EGFL8	"EGF like domain multiple 8"			"Evidence at protein level"
ENSG00000164318	EGFLAM	"EGF like, fibronectin type III and laminin G domains"			"Evidence at protein level"
ENSG00000146648	EGFR	"Epidermal growth factor receptor"	"Host-virus interaction"	"Developmental protein, Host cell receptor for virus entry, Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ENSG00000197561	ELANE	"Elastase, neutrophil expressed"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000049540	ELN	Elastin			"Evidence at protein level"
ENSG00000169393	ELSPBP1	"Epididymal sperm binding protein 1"	Fertilization		"Evidence at protein level"
ENSG00000161671	EMC10	"ER membrane protein complex subunit 10"	Angiogenesis		"Evidence at protein level"
ENSG00000186998	EMID1	"EMI domain containing 1"			"Evidence at protein level"
ENSG00000138080	EMILIN1	"Elastin microfibril interfacer 1"	"Cell adhesion"		"Evidence at protein level"
ENSG00000132205	EMILIN2	"Elastin microfibril interfacer 2"	"Cell adhesion"		"Evidence at protein level"
ENSG00000183798	EMILIN3	"Elastin microfibril interfacer 3"			"Evidence at protein level"
ENSG00000132464	ENAM	Enamelin	Biomineralization		"Evidence at protein level"
ENSG00000149218	ENDOD1	"Endonuclease domain containing 1"		"Endonuclease, Hydrolase, Nuclease"	"Evidence at protein level"
ENSG00000111405	ENDOU	"Endonuclease, poly(U) specific"		"Endonuclease, Hydrolase, Nuclease, RNA-binding"	"Evidence at protein level"
ENSG00000168913	ENHO	"Energy homeostasis associated"			"Evidence at transcript level"
ENSG00000197594	ENPP1	"Ectonucleotide pyrophosphatase/phosphodiesterase 1"	Biomineralization	Hydrolase	"Evidence at protein level"
ENSG00000154269	ENPP3	"Ectonucleotide pyrophosphatase/phosphodiesterase 3"		Hydrolase	"Evidence at protein level"
ENSG00000187097	ENTPD5	"Ectonucleoside triphosphate diphosphohydrolase 5"		Hydrolase	"Evidence at protein level"
ENSG00000197586	ENTPD6	"Ectonucleoside triphosphate diphosphohydrolase 6 (putative)"		Hydrolase	"Evidence at protein level"
ENSG00000182585	EPGN	"Epithelial mitogen"		"Growth factor"	"Evidence at protein level"
ENSG00000130427	EPO	Erythropoietin	"Erythrocyte maturation"	Hormone	"Evidence at protein level"
ENSG00000101448	EPPIN	"Epididymal peptidase inhibitor"		"Antimicrobial, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000249139	EPPIN-WFDC6	"EPPIN-WFDC6 readthrough"		"Antimicrobial, Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"
ENSG00000083782	EPYC	Epiphycan			"Evidence at protein level"
ENSG00000164307	ERAP1	"Endoplasmic reticulum aminopeptidase 1"	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000164308	ERAP2	"Endoplasmic reticulum aminopeptidase 2"	"Adaptive immunity, Immunity"	"Aminopeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ENSG00000065361	ERBB3	"Erb-b2 receptor tyrosine kinase 3"		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"
ENSG00000124882	EREG	Epiregulin	"Angiogenesis, Differentiation"	"Developmental protein, Growth factor, Mitogen"	"Evidence at protein level"
ENSG00000178752	ERFE	Erythroferrone		Hormone	"Evidence at transcript level"
ENSG00000226887	ERVMER34-1	"Endogenous retrovirus group MER34 member 1, envelope"			"Evidence at protein level"
ENSG00000164283	ESM1	"Endothelial cell specific molecule 1"	Angiogenesis		"Evidence at protein level"
ENSG00000188107	EYS	"Eyes shut homolog (Drosophila)"	"Sensory transduction, Vision"		"Evidence at protein level"
ENSG00000126218	F10	"Coagulation factor X"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000088926	F11	"Coagulation factor XI"	"Blood coagulation, Hemostasis"	"Heparin-binding, Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000131187	F12	"Coagulation factor XII"	"Blood coagulation, Fibrinolysis, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000124491	F13A1	"Coagulation factor XIII A chain"	"Blood coagulation, Hemostasis"	"Acyltransferase, Transferase"	"Evidence at protein level"
ENSG00000143278	F13B	"Coagulation factor XIII B chain"	"Blood coagulation, Hemostasis"		"Evidence at protein level"
ENSG00000180210	F2	"Coagulation factor II, thrombin"	"Acute phase, Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000117525	F3	"Coagulation factor III, tissue factor"	"Blood coagulation, Hemostasis"		"Evidence at protein level"
ENSG00000198734	F5	"Coagulation factor V"	"Blood coagulation, Hemostasis"		"Evidence at protein level"
ENSG00000057593	F7	"Coagulation factor VII"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000185010	F8	"Coagulation factor VIII"	"Acute phase, Blood coagulation, Hemostasis"		"Evidence at protein level"
ENSG00000101981	F9	"Coagulation factor IX"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000175182	FAM131A	"Family with sequence similarity 131 member A"			"Evidence at protein level"
ENSG00000113391	FAM172A	"Family with sequence similarity 172 member A"	"mRNA processing, mRNA splicing"		"Evidence at protein level"
ENSG00000151327	FAM177A1	"Family with sequence similarity 177 member A1"			"Evidence at protein level"
ENSG00000189320	FAM180A	"Family with sequence similarity 180 member A"			"Evidence at protein level"
ENSG00000144649	FAM198A	"Family with sequence similarity 198 member A"			"Evidence at protein level"
ENSG00000183662	FAM19A1	"Family with sequence similarity 19 member A1, C-C motif chemokine like"			"Evidence at protein level"
ENSG00000184599	FAM19A3	"Family with sequence similarity 19 member A3, C-C motif chemokine like"			"Evidence at transcript level"
ENSG00000163377	FAM19A4	"Family with sequence similarity 19 member A4, C-C motif chemokine like"			"Evidence at protein level"
ENSG00000219438	FAM19A5	"Family with sequence similarity 19 member A5, C-C motif chemokine like"		Cytokine	"Evidence at protein level"
ENSG00000108950	FAM20A	"FAM20A, golgi associated secretory pathway pseudokinase"	Biomineralization		"Evidence at protein level"
ENSG00000177706	FAM20C	"FAM20C, golgi associated secretory pathway kinase"	Biomineralization	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ENSG00000203795	FAM24A	"Family with sequence similarity 24 member A"			"Evidence at protein level"
ENSG00000071889	FAM3A	"Family with sequence similarity 3 member A"			"Evidence at protein level"
ENSG00000183844	FAM3B	"Family with sequence similarity 3 member B"	Apoptosis	Cytokine	"Evidence at protein level"
ENSG00000196937	FAM3C	"Family with sequence similarity 3 member C"		"Developmental protein"	"Evidence at protein level"
ENSG00000198643	FAM3D	"Family with sequence similarity 3 member D"			"Evidence at protein level"
ENSG00000158246	FAM46B	"Family with sequence similarity 46 member B"		"Nucleotidyltransferase, Transferase"	"Evidence at protein level"
ENSG00000078098	FAP	"Fibroblast activation protein alpha"	"Angiogenesis, Apoptosis, Cell adhesion"	"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ENSG00000026103	FAS	"Fas cell surface death receptor"	Apoptosis	"Calmodulin-binding, Receptor"	"Evidence at protein level"
ENSG00000117560	FASLG	"Fas ligand"	"Apoptosis, Transcription, Transcription regulation"	"Cytokine, Repressor"	"Evidence at protein level"
ENSG00000077942	FBLN1	"Fibulin 1"	"Host-virus interaction"		"Evidence at protein level"
ENSG00000163520	FBLN2	"Fibulin 2"			"Evidence at protein level"
ENSG00000140092	FBLN5	"Fibulin 5"	"Cell adhesion"		"Evidence at protein level"
ENSG00000144152	FBLN7	"Fibulin 7"	"Cell adhesion"	Heparin-binding	"Evidence at protein level"
ENSG00000166147	FBN1	"Fibrillin 1"		"Heparin-binding, Hormone"	"Evidence at protein level"
ENSG00000138829	FBN2	"Fibrillin 2"			"Evidence at protein level"
ENSG00000142449	FBN3	"Fibrillin 3"			"Evidence at protein level"
ENSG00000104921	FCER2	"Fc fragment of IgE receptor II"		"IgE-binding protein, Receptor"	"Evidence at protein level"
ENSG00000203747	FCGR3A	"Fc fragment of IgG receptor IIIa"		"IgG-binding protein, Receptor"	"Evidence at protein level"
ENSG00000162747	FCGR3B	"Fc fragment of IgG receptor IIIb"		"IgG-binding protein, Receptor"	"Evidence at protein level"
ENSG00000162894	FCMR	"Fc fragment of IgM receptor"	Immunity		"Evidence at protein level"
ENSG00000085265	FCN1	"Ficolin 1"	"Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000160339	FCN2	"Ficolin 2"	"Complement activation lectin pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000142748	FCN3	"Ficolin 3"	"Complement activation lectin pathway, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000143297	FCRL5	"Fc receptor like 5"		Receptor	"Evidence at protein level"
ENSG00000181617	FDCSP	"Follicular dendritic cell secreted protein"			"Evidence at protein level"
ENSG00000090512	FETUB	"Fetuin B"	Fertilization	"Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor"	"Evidence at protein level"
ENSG00000171560	FGA	"Fibrinogen alpha chain"	"Adaptive immunity, Blood coagulation, Hemostasis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000171564	FGB	"Fibrinogen beta chain"	"Adaptive immunity, Blood coagulation, Hemostasis, Immunity, Innate immunity"		"Evidence at protein level"
ENSG00000113578	FGF1	"Fibroblast growth factor 1"	"Angiogenesis, Differentiation"	"Developmental protein, Growth factor, Heparin-binding, Mitogen"	"Evidence at protein level"
ENSG00000070193	FGF10	"Fibroblast growth factor 10"		"Growth factor"	"Evidence at protein level"
ENSG00000196468	FGF16	"Fibroblast growth factor 16"		"Growth factor"	"Evidence at protein level"
ENSG00000158815	FGF17	"Fibroblast growth factor 17"		"Developmental protein, Growth factor"	"Evidence at protein level"
